ツール名,作者,カテゴリ,説明,公開状況,note記事リンク,最終更新日,サムネURL
おへんじ帖,はしゃもさん,交流・通知を管理する,noteの記事についた未返信コメントを一覧表示し、返信状況を管理するツール,無料,https://note.com/hasyamo/n/nb292c6ff9605,2026-08-03,https://assets.st-note.com/production/uploads/images/255332257/rectangle_large_type_2_d0933e2b17d531856c93d77d139fb25d.png?fit=bounds&quality=85&width=1280
note共同マガジン通知フィルター,ひゅー｜AI×note｜挑戦と思考整理を楽しむ。,交流・通知を管理する,noteの通知一覧で、共同マガジンに関する3種類の通知を非表示にするChrome拡張機能,有料（500円）,https://note.com/hyu_nisworks/n/n31deb816133b,2026-08-03,https://assets.st-note.com/production/uploads/images/276748144/rectangle_large_type_2_d7948e55987a1e475e73786562dbed36.png?fit=bounds&quality=85&width=1280
noteReader,ふなさん,記事を探す・読む,登録したnoteクリエイターの記事をグループ別に一覧表示し未読管理・期間指定・検索・並び替えができるツール,β版配布中,https://note.com/funa04/n/n3e9569f7caeb,2026-08-09,https://assets.st-note.com/production/uploads/images/300375765/rectangle_large_type_2_08d303e79a92e27d5a05db526e014a63.png?fit=bounds&quality=85&width=1280
YOMIASA,はしゃもさん,記事を探す・読む,好きなnoteクリエイターの記事を年月ごとに表示し、過去記事をたどりやすくする読書ツール,無料,https://note.com/hasyamo/n/nd3a38fffd5de,2026-08-03,https://assets.st-note.com/production/uploads/images/298506142/rectangle_large_type_2_c6d7c74ae034b44e951a1b97762f444b.png?fit=bounds&quality=85&width=1280
おはヨミ,はしゃもさん,記事を探す・読む,読みたいnoteクリエイターを読む頻度に合わせて管理するリーディングリスト,無料,https://note.com/hasyamo/n/nd7e3da2d97a0,2026-08-03,https://assets.st-note.com/production/uploads/images/249871096/rectangle_large_type_2_8c176010284d317ef588dd0355902f87.png?fit=bounds&quality=85&width=1280
おはヨミ next,はしゃもさん,記事を探す・読む,推しているnoteクリエイターの新着記事を確認しクリエイターごとの記念日も事前に知らせるリーディングリスト,無料,https://note.com/hasyamo/n/n0751c8a344fb,2026-08-09,https://assets.st-note.com/production/uploads/images/301084247/rectangle_large_type_2_788c84e2a9a37b7d70bde78594f0cb3c.png?width=1280
note-saver,データ分析｜コピペで動くAIアプリ｜[ゆき],保存・管理する,noteの記事やクリエイターを相手に通知せず自分用に保存するChrome拡張機能,無料,https://note.com/jazzy_orchid7415/n/ndbb9d1c6b917,2026-08-03,https://assets.st-note.com/production/uploads/images/250869941/rectangle_large_type_2_bc23ccf506aeaebf9589c72b08992eca.png?fit=bounds&quality=85&width=1280
noteしおり,AIを使える形に整える@オトーワン,保存・管理する,noteの記事を読んでいる途中の位置を保存し、続きから読めるChrome拡張機能,無料,https://note.com/oto_wan_ai/n/n24002fe46ebe,2026-08-03,https://assets.st-note.com/production/uploads/images/286900709/rectangle_large_type_2_243f5930c3094d6b32f8f678a4fa93c6.png?fit=bounds&quality=85&width=1280
note Audio Player,やのすけさん,記事を探す・読む,noteの記事本文を音声で聴くためのChrome拡張機能,無料,https://note.com/dear_lupine1825/n/n515eef1d7483,2026-08-03,https://assets.st-note.com/production/uploads/images/273960712/rectangle_large_type_2_2b690b3f1e1a7d526f1a2102bf8000f8.png?fit=bounds&quality=85&width=1280
Note Reader Enhancer,ヤマザキ@株式投資で自由を手に入れよう,表示・操作環境を変える,noteの記事閲覧画面にダークモードや文字サイズ調整などを追加するブラウザ拡張機能,無料,https://note.com/noteworkr/n/nd439e6e9318d,2026-08-03,https://assets.st-note.com/production/uploads/images/257431944/rectangle_large_type_2_5c258679a70b899525881c4ff7d2bb10.jpeg?fit=bounds&quality=85&width=1280
noteの記事で目次を固定表示するChrome拡張機能,yuki-Pさん,表示・操作環境を変える,noteの記事を読むときに目次を画面右下へ固定表示し見出しへの移動を容易にするツール,無料,https://note.com/yuki_tech/n/ncf5c9d131418,2026-08-03,https://assets.st-note.com/production/uploads/images/291457474/rectangle_large_type_2_070fbdfe071269ef5721f0ce15e222cd.png?fit=bounds&quality=85&width=1280
おだやかnoteセット,日和（ひより）さん,表示・操作環境を変える,noteのミュート機能と記事のスキ数を非表示にする機能をまとめたツール,無料,https://note.com/hiyori_labo/n/n61209ca91cc1,2026-08-03,https://assets.st-note.com/production/uploads/images/272391365/rectangle_large_type_2_5a973834781aa3ab7f250b56b0e72e4e.jpg?fit=bounds&quality=85&width=1280
積み上げノート,はしゃもさん,活動を分析・記録する,noteのフォロワー数を毎日記録し、推移をグラフで確認できるツール,無料,https://note.com/hasyamo/n/n01271ce80310,2026-08-03,https://assets.st-note.com/production/uploads/images/247981879/rectangle_large_type_2_68c74ef4d62378c53cc7f48961e4b0d1.png?fit=bounds&quality=85&width=1280
note TREE,あいすけ@歯科アプリ個人開発者,活動を分析・記録する,noteへの投稿を続けるための習慣化支援Webアプリ,公開中,https://note.com/suke_ai_code/n/ne4e65fa5010b,2026-08-03,https://assets.st-note.com/production/uploads/images/284817635/rectangle_large_type_2_611b8979c555250c0adfe764aaf117e3.png?fit=bounds&quality=85&width=1280
観測は続く。,はしゃもさん,活動を分析・記録する,自分の記事にスキをした人の一覧やスキのランキング等を確認できるツール,メンバーシップ限定,https://note.com/hasyamo,2026-08-03,https://assets.st-note.com/production/uploads/images/293589917/6c9d4c9e754e63c7ce41a77331ff15a2.png?fit=bounds&format=jpeg&height=1024&quality=85&width=1024
NoteGrow,ナツ｜「あったらいいな」を形にするAIクリエイター,活動を分析・記録する,noteの記事ごとのビュー・スキ・売上を記録し、タイトル検索・変更履歴も含めて管理するWebアプリ,無料配布は2026年8月16日まで予定・以降メンバーシップ限定予定,https://note.com/shigi_natsu/n/n6c3252d33673,2026-08-12,https://assets.st-note.com/production/uploads/images/302287571/rectangle_large_type_2_cdf35b6166c0ef5e646c0597f7821018.jpeg?width=1280
note統計情報取得ツール,みひろさん,活動を分析・記録する,noteの統計データを取得し、Googleスプレッドシートで分析するGASツール,有料（980円）,https://note.com/mihiro_mama/n/n5c372ca04784,2026-08-03,https://assets.st-note.com/production/uploads/images/203955717/rectangle_large_type_2_f02a408d2b3a8b36843bf528ad140583.png?fit=bounds&quality=85&width=1280
ダッシュボード（アクセス状況）分析ツール,深灯さん,活動を分析・記録する,noteのダッシュボードからコピーしたデータをExcelで分析するテンプレート,有料（980円）,https://note.com/mito_hikari/n/n9054186db840,2026-08-03,https://assets.st-note.com/production/uploads/images/262302471/rectangle_large_type_2_db5db381ee9af981ff01c9fbc2d00de7.jpeg?fit=bounds&quality=85&width=1280
NoteSync,NoteSyncさん,活動を分析・記録する,noteの販売履歴CSVをアップロードし、売上を可視化・分析するサービス,無料,https://note.com/notesync_jp,2026-08-03,https://assets.st-note.com/production/uploads/images/287767838/53ada83fddd05d48b2f2101110134c1e.png?fit=bounds&format=jpeg&height=1024&quality=85&width=1024
note売上分析ダッシュボード,ぽち太さん,活動を分析・記録する,noteの販売履歴画面でブックマークレットを実行し、ダッシュボード形式で情報を表示するツール,有料（1000円・X投稿リポストで無料）,https://note.com/pochipochita_ph/n/nb74fb9ba50ae,2026-08-03,https://assets.st-note.com/production/uploads/images/292977483/rectangle_large_type_2_98eb9ac40fbd335a632112c6f5d197f5.png?fit=bounds&quality=85&width=1280
